Material Name,Categories,Density,Chemical Properties,Mechanical Properties,Modulus of Elasticity,Poissons Ratio,Shear Modulus,Electrical Properties,Volume Resistivity,Dielectric Constant,Dielectric Loss Index,Thermal Properties,"CTE, linear",Thermal Conductivity,"Transformation Temperature, Tg",Softening Point,Working Point,Annealing Point,Optical Properties,Refractive Index,UV Transmittance,Hydrolytic Resistance,Stress-optical Coefficient K (10-6mm2N-1),tk100(°C),"Maximum Service Temperature, Air",CaO+MgO,SiO2,Classification Temperature (°C),CategoryList
Schott Glass 8347 Borosilicate Glass,Ceramic;Glass,2.23,137.56643722030984,804.2291818725532,63.0,0.2,26.3,442819591987.16125,3200000.0,52139478858.72964,295.7408453173375,178723.99487959934,3.3,1.2,525.0,825.0,1260.0,560.0,58035714461.13636,1.473,227.04315435575046,1.0,4.0,250.0,5121165644727.556,10325.090350723212,7033928571738.007,6549216794243.015,"['Ceramic', 'Glass']"
Morgan Advanced Ceramics Superwool® Plus Tank Car Blanket Thermal Ceramic,Ceramic;Oxide,52.56492174799874,159.71131046828827,676.2442524865884,68556631.2531715,75061636313.20595,1469081.6628467666,466526512335.5545,963393435379.7284,81956244839.75427,183.5738495147059,276792.44811655633,8156752873871.653,0.07,108315910714.32613,1758447018000.9456,528169015631.21985,20932620639.68686,90863997305.01517,7015189410217.756,195.59041880019493,884515924261.2141,5912905715455.2705,5589539357324.477,1000.0,5175.057843881458,8037133699959.662,1200.0,"['Ceramic', 'Oxide']"
Hafnium,Metal;Nonferrous Metal;Pure Element,13.31,28.074520856470592,113.0,0.18981,1.3,0.78,5.423505678571429,450.0,19.674742857142856,25.0,57.66130483516484,3.55e-05,4.2e-07,12.7,0.128,69.16510523529412,5.9,0.144,22.0,11.201272727272727,3100.0,736.1070630286191,100.0,100.0,164.14985286600907,271.8212178564538,298.86811538586034,"['Metal', 'Nonferrous Metal', 'Pure Element']"
Chosun Refractories HSC-18RA Dense and High-Strength Castable,Ceramic;Oxide;Aluminum Oxide,61.0299829240366,156.02812344889796,646.2175166822532,84300672.62278198,70465998308.04787,1639845.5798075837,403857845379.50385,910192505337.0527,77491926811.62698,168.28130471176473,349572.93188266206,7717068965799.736,99296301185.54095,102361259923.95715,2228550810036.728,422535212906.06244,27218556983.980663,85822511012.22964,6643079363249.735,190.39371573334913,746418859024.9802,4752738972698.96,4489199053577.38,4469459988851.931,4215.807298410132,24.0,24.0,"['Ceramic', 'Oxide', 'Aluminum Oxide']"
MarkeTech CWO (Cadmium tungstate,Ceramic;Oxide,7.9,159.71131046828827,676.2442524865884,68556631.2531715,75061636313.20595,1469081.6628467666,466526512335.5545,963393435379.7284,81956244839.75427,183.5738495147059,276792.44811655633,8156752873871.653,101804051349.55067,108315910714.32613,1758447018000.9456,528169015631.21985,10.2,90863997305.01517,7015189410217.756,1325.0,884515924261.2141,5912905715455.2705,5589539357324.477,5431605205408.259,5175.057843881458,8037133699959.662,10425789549169.682,"['Ceramic', 'Oxide']"
AISI 1137 Steel,Metal;Ferrous Metal;Carbon Steel;AISI 1000 Series Steel;Medium Carbon Steel,25.91293125,27.84980086666667,45.92371473684211,62.45598733333335,541.426177,17.087954375000002,4.922917142857143,274.46082631578946,19.674742857142856,61.050833333333344,56.00563076923077,67.51114539285716,248.59384574428572,358.05769642857143,58.74053333333333,69.16510523529412,69.74524691428572,93.78469899333332,83.24011843832001,11.201272727272727,270.5067954453333,367.62651462603174,192.0841875,362.26076923076926,540.065304957238,746.2842951330356,1297.8243749429105,"['Metal', 'Ferrous Metal', 'Carbon Steel', 'AISI 1000 Series Steel', 'Medium Carbon Steel']"
AISI 4320H Steel,Metal;Ferrous Metal;Alloy Steel;AISI 4000 Series Steel;Low Alloy Steel;Carbon Steel;Low Carbon Steel,25.91293125,27.84980086666667,45.92371473684211,62.45598733333335,541.426177,17.087954375000002,4.922917142857143,274.46082631578946,19.674742857142856,61.050833333333344,56.00563076923077,67.51114539285716,248.59384574428572,358.05769642857143,58.74053333333333,69.16510523529412,69.74524691428572,93.78469899333332,83.24011843832001,11.201272727272727,270.5067954453333,459.134507705345,192.0841875,362.26076923076926,594.3883004347297,524.7013327808116,837.3324605741801,"['Metal', 'Ferrous Metal', 'Alloy Steel', 'AISI 4000 Series Steel', 'Low Alloy Steel', 'Carbon Steel', 'Low Carbon Steel']"
Advanced Ceramics ACL 1091 (C-799) Alumina,Ceramic;Oxide;Aluminum Oxide,61.0299829240366,156.02812344889796,646.2175166822532,84300672.62278198,70465998308.04787,1639845.5798075837,403857845379.50385,910192505337.0527,77491926811.62698,168.28130471176473,349572.93188266206,7717068965799.736,99296301185.54095,102361259923.95715,2228550810036.728,422535212906.06244,27218556983.980663,85822511012.22964,6643079363249.735,190.39371573334913,746418859024.9802,4752738972698.96,4489199053577.38,4469459988851.931,4215.807298410132,7768489011291.655,9891468113977.348,"['Ceramic', 'Oxide', 'Aluminum Oxide']"
Mateck Gallium Arsenide (GaAs),Ceramic;Phosphide/Pnictide;Other Engineering Material;Semiconductor,5.316,114.50342158159914,606.7473468044077,42503107.58204038,47534498356.685074,1068020.2152578272,429400816519.5535,695776299463.0574,120078261948.75658,165.4606312217195,173293.58895421107,5020689655435.421,193486096059.23843,165518867768.83353,1122384287711.935,512163893690.81903,5.39,0.35,46.05,1238.0,1012440798331.4163,5818427301604.141,12744844061679.092,11543900885174.893,4911.614118765094,11936940837237.746,7263850951731.74,"['Ceramic', 'Phosphide/Pnictide', 'Other Engineering Material', 'Semiconductor']"
Aremco Ceramabind™ 642-A High Temperature Inorganic Binder,Ceramic,44.69403065022422,147.67946867469882,715.380579338843,58441751.03541965,65359935090.12174,1468491.3542295124,590426122632.758,826692411748.6007,69519305006.9414,215.6552323529412,238267.1215808333,6903448276201.1875,85487826480.62068,92171776502.37819,1543278395576.3176,704225353715.4303,17032967588.783735,77380952579.94206,5917159763415.495,209.4985506842105,1050000834107.3104,7809161068842.147,7394160584375.095,6828220859572.754,6739.624936380951,9378571428912.5,8731599403719.894,['Ceramic']
