GUID,Material Name,Categories,Descriptive Properties - Physical Properties,Descriptive Properties - Density,Descriptive Properties - Chemical Properties,Descriptive Properties - Mechanical Properties,Descriptive Properties - Modulus of Elasticity,Descriptive Properties - Poissons Ratio,Descriptive Properties - Shear Modulus,Descriptive Properties - Electrical Properties,Descriptive Properties - Volume Resistivity,Descriptive Properties - Dielectric Constant,Descriptive Properties - Dielectric Loss Index,Descriptive Properties - Thermal Properties,"Descriptive Properties - CTE, linear",Descriptive Properties - Thermal Conductivity,"Descriptive Properties - Transformation Temperature, Tg",Descriptive Properties - Softening Point,Descriptive Properties - Working Point,Descriptive Properties - Annealing Point,Descriptive Properties - Optical Properties,Descriptive Properties - Refractive Index,Descriptive Properties - UV Transmittance,Descriptive Properties - Hydrolytic Resistance,Descriptive Properties - Stress-optical Coefficient K (10-6mm2N-1),Descriptive Properties - tk100(°C),"Descriptive Properties - Maximum Service Temperature, Air",Descriptive Properties - CaO+MgO,Descriptive Properties - SiO2,Descriptive Properties - Classification Temperature (°C)
20b54b4841134269b8b488be975d0696,Schott Glass 8347 Borosilicate Glass,Ceramic;Glass,Metric,2.23g/cc@Temperature 25.0 °C,Metric,Metric,63.0GPa,0.20,26.3GPa,Metric,3.20e+6ohm-cm@Temperature 350 °C,"4.6@Frequency 1e+6 Hz,Temperature 25.0 °C","0.0037@Frequency 1e+6 Hz,Temperature 25.0 °C",Metric,3.30-°C@Temperature 20.0 - 300 °C,1.20W/m-K@Temperature 90.0 °C,525°C,825°C,1260°C,560°C,Metric,1.473@Wavelength 587.6 nm,"<= 70 %@Thickness 1.00 mm,Wavelength 254 nm",Class HGB 1,4,250,,,,
55f65482f2b443f1aa6d495f09dad3cf,Morgan Advanced Ceramics Superwool® Plus Tank Car Blanket Thermal Ceramic,Ceramic;Oxide,,,,,,,,,,,,Metric,,0.0700W/m-K@Temperature 260 °C,,,,,,,,,,,1000°C,29 - 39 %,62 - 68 %,1200
129f6c5f72db498eaee987ef6870c52d,Hafnium,Metal;Nonferrous Metal;Pure Element,Metric,13.31g/cc,Metric,113barns/atom,0.18981Å,1.3,0.780Å,Metric,450MPa,"125MPa@Strain 0.02 %,Temperature 315 °C",25 %,Metric,0.0000355ohm-cm,4.2e-7,12.7,0.128K,Metric,5.90-°C@Temperature 20.0 °C,0.144J/g-°C,22.0W/m-K,2207-2247°C,3100°C,Metric,100 %,100 %,bcc,,
02f0b7eab716450e8e250dcda0be107b,Chosun Refractories HSC-18RA Dense and High-Strength Castable,Ceramic;Oxide;Aluminum Oxide,,,,,,,,Metric,,,,,,,,,Metric,,,,,,Metric,,,,"@Temperature ,Time 24.0 hour","@Treatment Temp. ,Time 24.0 hour"
7a2e1c6f9256490c8d1f175d306a4265,MarkeTech CWO (Cadmium tungstate,Ceramic;Oxide,Metric,7.90g/cc,,,,,,Metric,,,,,,,,,Metric,10.2-°C,,,1325°C,,,,,,,
89e07f08e9864c2b85a84449326b07b1,AISI 1137 Steel,Metal;Ferrous Metal;Carbon Steel;AISI 1000 Series Steel;Medium Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fcd4be491b0343de8cb2dfdbd9986e4d,AISI 4320H Steel,Metal;Ferrous Metal;Alloy Steel;AISI 4000 Series Steel;Low Alloy Steel;Carbon Steel;Low Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74e549ab320f4c1abc741af16283986b,Advanced Ceramics ACL 1091 (C-799) Alumina,Ceramic;Oxide;Aluminum Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35d83b4453ed448a801549422dac6b7e,Mateck Gallium Arsenide (GaAs),Ceramic;Phosphide/Pnictide;Other Engineering Material;Semiconductor,Metric,5.316g/cc@Temperature 20.0 °C,,,,,,Metric,,,,,,,,,Metric,5.39-°C@Temperature 0.000 - 30.0 °C,0.350J/g-°C,46.05W/m-K@Temperature 25.0 °C,1238°C,,,,,,,
cb4353ed325b44b0aa2cda5e,Aremco Ceramabind™ 642-A High Temperature Inorganic Binder,Ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a6f0b7564cf4682a0699d6f8e7cb017,H.C. Starck Grade M11 h.p. Silicon Nitride,Ceramic;Nitride,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c72ecf8f2e9a428eafb3fc17d4eeebdb,BNZ Materials Marinite® A Ceramic Board for Aluminum Contact,Ceramic;Oxide,Metric,1.04g/cc,,,,,,Metric,,,,,,,,,Metric,,,0.280W/m-K@Temperature 427 °C,,,Metric,,,,,
1698401a190d4905bbb5dc58fe49eaa1,Schott K10 Glass,Ceramic;Glass,Metric,2.52g/cc,Metric,,,,,Metric,,,,,,,,,Metric,6.50-°C@Temperature -30.0 - 70.0 °C,0.770J/g-°C,1.12W/m-K,,,,,,,,
801bce5456204b198c57f2744a1b1124,Mo-Sci Corporation GL-0186 Borosilicate Glass Spheres,Ceramic;Glass;Oxide;Silicon Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46834a3f77c0409fa7bde5c9a8289846,BNZ Materials BNZP-23B Insulating Firebrick (French Grade),Ceramic;Oxide;Aluminum Oxide,Metric,0.700g/cc,,,,,,Metric,,,,,,,,,Metric,7.50-°C@Temperature 20.0 - 1000 °C,,0.180W/m-K@Temperature 200 °C,,,,,,,,
b370bbd494ea472995d9a7fb3d1a7021,Morgan Advanced Ceramics Vibrotek 80 Thermal Ceramic,Ceramic;Oxide,Metric,,,,,,,Metric,,,,,,,,,Metric,,,1.90W/m-K@Temperature 600 °C,,,Metric,,,,,@Treatment Temp.
ee624d8f00ad49acbebac9303f86c25d,H.C. Starck Grade AT Yttrium Oxide,Ceramic;Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347e7c4679ed49c0ba1206be487aa717,H.C. Starck Grade B7 Silicon Nitride,Ceramic;Nitride,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e28939141d884741841419854e32fcea,Nabaltec GRANALOX® NM 9622 FS Alumina Cermaic Body,Ceramic;Oxide;Aluminum Oxide;Other Engineering Material;Additive/Filler for Polymer,Metric,3.79g/cc,,,,,,,,,,,,,,,Metric,,,,,,Metric,,,,,
2818a7a19e544d918dd2a45ed19b315e,AISI 1141 Steel,Metal;Ferrous Metal;Carbon Steel;AISI 1000 Series Steel;Medium Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88cc1ad91e9644efaf7c7b2d177fe06c,Mid-Mountain Materials THERMOSEAL® FIBERPAK® M22 Moldable,Ceramic;Other Engineering Material;Ceramic/Metallic Coating,Metric,0.336g/cc,,,,,,,,,,,,,,,Metric,,,,,,,,,,,
e16a3287d2004e10b40b52613aab9e89,Crystex Composites Mykroy/Mycalex MM 451 Molding Grade Glass-bonded Mica Composite,Ceramic;Glass;Glass Ceramic,Metric,2.50g/cc,,,,,,Metric,,,,Metric,,,,,Metric,10.10-°C@Temperature 25.0 °C,,0.640W/m-K,,,,,,,,
356a19e9c150461b93b51409a58f4ebc,Unifrax Excelfrax® 1800 Board Microporous Insulation,Ceramic;Oxide;Silicon Oxide,Metric,0.231g/cc,,,,,,Metric,,,,,,,,,Metric,,0.800J/g-°C@Temperature 32.0 - 800 °C,0.0190W/m-K@Temperature 20.0 °C,,,Metric,,,,,
9b3e98f6f83b48e78b837363ec62aa96,Morgan Advanced Ceramics Kao-Tex™ Textile 2000 Rope Square Braided Thermal Ceramic,Ceramic;Oxide,,,,,,,,,,,,,,,,,Metric,,,,,,,,,,,
edec75b34f2a431a9639ce642eb48bae,Morgan Advanced Ceramics Z-Blok 3 Modules Kaowool SZr/Cerachem Blanket,Ceramic;Oxide,Metric,0.128-0.160g/cc,,,,,,,,,,,,,,,Metric,,1.13J/g-°C@Temperature 1090 °C,0.110W/m-K@Temperature 400 °C,,,,,,,,
784bc0f4e7d04fdaa4c4c7a118a345f2,Carborundum CarboTherm™ CTF10 Boron Nitride Powder,Ceramic;Nitride;Other Engineering Material;Additive/Filler for Polymer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490e43b1c9044702a7ffb0f230ba8148,Chosun Refractories SM-2 Special Mortar,Ceramic;Oxide;Silicon Oxide,Metric,,,,,,,,,,,,,,,,,,,,,,Metric,,,,,
739564d5b447429885432cefba049d19,H.C. Starck Amperit® 547.002 Tungsten Carbide-Nickel 88-12 (WC-Ni),Ceramic;Carbide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62d8ff305eea4177a1dc31de539c190d,Malvern Minerals Novakup® 325 Surface-Treated Lamellar Quartz Filler/Extender,Ceramic;Oxide;Silicon Oxide;Other Engineering Material;Additive/Filler for Polymer,Metric,,,,,,,Metric,,,,,,,,,Metric,,0.803J/g-°C@Temperature 0.000 - 200 °C,,,,Metric,,,,,
df3655b657f34612ae9d7652f1d82c58,BNZ Materials PA 23 Insulating Firebrick,Ceramic;Oxide;Silicon Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7ee135affae74a429ceed4521b933e70,Materion Thermalox® 995 General Purpose 99.5% BeO,Ceramic;Oxide,Metric,2.85g/cc,,,,,,Metric,152MPa,,,Metric,>=1.00e+15ohm-cm,,,,Metric,9.00-°C@Temperature 20.0 - 100 °C,1.05J/g-°C,285W/m-K@Temperature 20.0 °C,,,,,,,,
d0ae75c4c7cc41f39cc14af17aa,Aremco Aremcolox™ 502-1830 Boron Nitride - Zirconia Composite,Ceramic;Ceramic Matrix Composite;Nitride,Metric,2.90-3.00g/cc,,,,,,Metric,,,,Metric,,,,,Metric,3.60-°C,,30.0W/m-K,,,,,,,,
c8fad293c11d48d8bda7ae2d91860bf4,Morgan Advanced Ceramics Sintox™ FA Mac-A95OR-1 Technical Ceramic,Ceramic,Metric,3.70g/cc,,,,,,Metric,,,,,,,,,Metric,7.50-°C@Temperature 0.000 - 800 °C,,21.0W/m-K,,,Metric,,,,,
d8bd7a55cb874b45bdd25bec2ac90839,CoorsTek Cercom® PAD SIC-N Pressure Assisted Densification Silicon Carbide,Ceramic;Carbide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38b12af6537a49d4968d6f143b5aebc5,Schott BG7 Band Pass Filter,Ceramic;Glass;Optical;Filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58e159ab88b24b9a9d0786c2f9324b67,Schott N-LAF33 Glass,Ceramic;Glass,Metric,4.36g/cc,Metric,,,,,Metric,,,,,,,,,Metric,5.60-°C@Temperature -30.0 - 70.0 °C,0.570J/g-°C,0.800W/m-K,,,,,,,,
5050ff59e4bb41d5add38bd59bf718df,Morgan Advanced Ceramics Higun MS4 Thermal Ceramic,Ceramic;Oxide,Metric,,,,,,,Metric,,,,,,,,,Metric,,,1.75W/m-K@Temperature 600 °C,,,Metric,,,,,@Treatment Temp.
f65bece5b4b94590bda9bb19d6c75ef2,Chosun Refractories CTC-85TD Monolithic Refractories for Ladle and Tundish,Ceramic;Oxide;Aluminum Oxide,,,,,,,,Metric,,,,,,,,,Metric,,,,,,Metric,,,,"@Temperature ,Time 24.0 hour","@Treatment Temp. ,Time 24.0 hour"
77105ae934624f50ab8f68682f714334,AISI 1040 Steel,Metal;Ferrous Metal;Carbon Steel;AISI 1000 Series Steel;Medium Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f1e679ed594446e49a037cf725859e9b,Schott N-LASF41 Glass,Ceramic;Glass,Metric,4.85g/cc,Metric,,,,,Metric,,,,,,,,,Metric,6.20-°C@Temperature -30.0 - 70.0 °C,0.490J/g-°C,0.790W/m-K,,,,,,,,
681c65d67d9546afadf647de928495fe,Nabaltec NABALOX® NO 313 Polishing Alumina,Ceramic;Oxide;Aluminum Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387b4fffd6414a1393a6b1ea02245f45,Chosun Refractories MIX-1(1:4) Light-Weight Gunning Castable,Ceramic,,,,,,,,Metric,,,,,,,,,Metric,,,0.233-0.4653W/m-K@Temperature 540 °C,,,,,,,"0.0000489-@Temperature ,Time 24.0 hour","711-@Treatment Temp. ,Time 3.00 hour"
529537df1d0d429a9310acb1a070d96b,Imerys TIMREX® SFG15 Primary Synthetic Graphite,Carbon;Graphite;Other Engineering Material;Additive/Filler for Polymer,Metric,,,,,,,,,,,Metric,0.750ohm-cm,,,,,,,,,,Metric,,,,,
ecfbf677b1aa45aabcb3723744b1a83c,KaMin Lithosperse® 7005CS Kaolin Clay - Surface Treated,Ceramic;Clay;Kaolin Clay,Metric,,,,,,,,,,,,,,,,,,,,,,,,,,,
bee590cc47254e378f4dc719f995898a,AISI 1080 Steel,Metal;Ferrous Metal;Carbon Steel;AISI 1000 Series Steel;High Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ffc182d341074001be40019eec1bb4dc,Mo-Sci Corporation GL 1745 Viscous Glass Seal,Ceramic;Glass,Metric,3.20g/cc,,,,,,,,,,,,,,,Metric,7.00-°C@Temperature 50.0 - 500 °C,,,,,Metric,,,,,
59503ac8f08c46acb16b54efe3a34313,Sharadaa Ceramics HA 88X High Alumina Brick,Ceramic;Oxide;Aluminum Oxide,Metric,,,,,,,Metric,,,,,,,,,Metric,,,,,,Metric,,,,,
f6e137b80f664247aa4f7a67b6e2799b,Goodfellow Multi Wall Graphene Nanotubes,Carbon,Metric,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccc272865bf347558d21c8d1b31ebbae,Thermal Transfer Composites PRIMEX ULTRA™ MCT-587™ Aluminum Silicon Carbide Composite,Ceramic;Carbide;Metal;Metal Matrix Composite;Nonferrous Metal;Aluminum Alloy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51dfc47a63ac47d08c3dcdeabdeaf3af,Glauconite (K,Ceramic;Oxide,Metric,2.20-2.80g/cc,,,,,,,,,,,,,,,,,,,,,,,,,,
0b27233151ab43e18576da92d80f2545,AISI 1030 Steel,Metal;Ferrous Metal;Carbon Steel;AISI 1000 Series Steel;Medium Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4b92029b9d6e4992b994e842bfdedee0,Schott Glass 8241 Alkaline Earth Aluminosilicate Glass,Ceramic;Glass,Metric,2.67g/cc@Temperature 25.0 °C,Metric,,,,,Metric,,,,Metric,,,,,Metric,4.70-°C@Temperature 20.0 - 300 °C,,1.10W/m-K@Temperature 90.0 °C,,,Metric,,,,,
2dac6393494444e5b2c36fe9fded1cf0,CeramTec 950 Zirconia Toughened Alumina (ZTA),Ceramic;Oxide;Aluminum Oxide,Metric,4.40g/cc,0.00 %,414MPa,289GPa,680MPa,2890MPa,0.22,6.00MPa-m½,126GPa,Metric,8.80-°C,0.600J/g-°C@Temperature 100 - 200 °C,15.0W/m-K,1500°C,Buff,250,,,,,,,,,,,
d99564dc95b647f6b284740d12dd3612,Saint-Gobain Chemfab® 3 Industrial PTFE-Coated Glass,Ceramic;Glass;Glass Fiber,Metric,1.7354g/cc,,,,,,,,,,,,,,,,2.0,14.0kN/m,3.9,,,,,,,,
436096f0094449bfb4d16600a91e6e7c,BNZ Materials Bazelite 2100 Insulating Castable,Ceramic;Oxide;Silicon Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d0149b1c5bc845698700902f357095a8,Schott KG3 Short Pass Filter,Ceramic;Glass;Optical;Filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e545310c24e34302a0ee4e3c864767e4,Ohara S-BSM18 Optical Glass,Ceramic;Glass;Optical,Metric,,,,,,,0.268,,,Metric,7.00-°C@Temperature -30.0 - 70.0 °C,,0.815W/m-K@Temperature 35.0 °C,,,,,,,3.69g/cc,English,51.2,570@Load 0.220 lb,88.5GPa,159,717°C,600°C
f7bd8e2fe6ff47149de7a220d235d1f9,Morgan Advanced Ceramics Superwool® Plus Board INO Thermal Ceramic,Ceramic;Oxide,Metric,0.500g/cc,,,,,0.300MPa,,,,Metric,,,0.0900W/m-K@Temperature 300 °C,,white/tan,,,,,,,,,,,,
